cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance
8.025865816751923,11.309602560298934,11.42818867687502,47.6,60.0,156.6,142.4,53.8,21.8,97.6,47.8,38.8,187.8,125.6,85.4,460.4,47.6,179.6,173.8,93.8,72.2,268.0,85.4,201.6,242.0,0.1399999999999999,51.2,0.0586983431543955,0.5360060342843702,1.4413159553972312,fao,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
3.8528160852792177,5.413874807630947,2.033371499399885,5.0,9.6,26.4,22.0,15.2,0.4,31.6,24.8,11.8,29.6,43.2,23.8,78.8,21.0,58.0,44.6,37.6,34.6,33.6,43.8,50.6,52.0,0.22,19.2,0.053621575398577,0.8573803803367811,0.3835549325042168,fao,False,True,True,True,True,True,True,5.4,18.6,29.8,58.6,44.4,43.2,71.2,46.0,95.4,87.6,74.8,1.2,66.0,56.6,121.8,171.4
8.204325398646406,14.593978926426058,6.421276805538307,,,,,,,93.6,42.8,30.8,115.4,93.2,80.4,289.6,59.4,111.8,118.0,55.2,60.2,166.6,89.8,119.6,122.2,0.1399999999999999,57.6,0.1053028907882925,0.6599113777018849,1.4497785911399417,fao,False,True,False,False,False,False,False,11.8,140.0,73.8,108.8,118.6,72.8,129.0,151.2,90.8,135.0,156.2,19.8,,,,
13.993143851357129,22.36736385230716,26.280911239003597,223.4,398.8,604.8,333.6,56.6,140.4,,,,,,,,,,,,,,,,,0.03,22.4,0.0313785702468693,0.0778594428321843,0.1137993307988827,fao,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
7.420615014999143,10.484040081866024,10.329134646873792,34.4,59.8,122.0,114.4,46.0,16.2,52.8,37.2,23.2,106.6,68.6,46.4,287.0,31.6,92.2,104.8,54.2,52.0,178.4,52.8,108.2,110.2,0.1399999999999999,51.2,0.121530062596741,1.2999929216426949,0.5224085313375667,fao,False,True,True,False,False,False,False,7.8,144.0,50.2,124.0,106.2,52.2,112.8,134.6,97.2,123.4,157.4,22.4,,,,
8.08030658013012,10.429557963749051,4.751295506852083,,,,,,,98.4,42.4,30.8,136.4,80.0,74.6,304.0,48.0,94.4,107.6,60.2,53.2,181.8,86.8,86.0,130.0,0.1,44.8,0.1023312202720417,0.1477726151763661,0.001302523232264,fao,False,True,False,True,False,False,False,13.4,138.8,39.8,66.4,114.8,57.8,92.2,135.4,92.6,130.6,142.2,14.6,144.6,,,
13.243406156102887,17.859694122451547,15.908049988710328,115.4,169.6,346.0,327.0,90.6,33.6,,,,,,,,,,,,,,,,,0.03,25.6,0.0448177979474306,0.0892202494387106,0.1076011927776718,fao,False,False,True,True,False,False,False,,,,,,,,,,,,,859.2,,,
7.50398040040681,7.631839889279165,3.87247418640757,21.0,38.6,95.2,86.6,40.8,7.4,36.2,28.0,19.2,91.6,58.0,44.0,218.8,31.2,73.2,72.4,37.4,34.6,124.0,49.6,64.8,95.8,0.18,32.0,0.1055988724623255,0.5945585346553749,0.3636271731752514,fao,False,True,True,True,False,False,False,5.8,110.2,30.6,84.8,77.4,39.0,72.2,98.2,60.2,108.0,104.0,17.6,106.0,,,
7.13032492821965,6.665998806807687,5.477218116218824,,,,,,,68.4,51.0,28.2,118.4,95.6,69.2,228.8,38.0,82.0,92.6,71.6,47.4,143.8,86.2,91.4,110.4,0.1399999999999999,38.4,0.0864960292695971,0.4719279070162105,0.5429410200019525,fao,False,True,False,False,True,False,False,7.0,127.4,56.2,87.8,91.6,58.8,103.2,106.6,105.4,155.6,128.2,8.2,,,234.8,
10.525151119715511,8.946108473081665,10.254057910630843,112.4,352.0,712.6,790.6,335.8,30.8,,,,,,,,,,,,,,,,,0.03,57.6,0.0281922017324941,0.2777209140547505,0.3498460420407461,fao,False,False,True,False,True,False,False,,,,,,,,,,,,,,,1685.0,
