cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.1690614166929274,4.876356333242796,4.781629475923906,3.0,8.0,6.0,30.0,72.0,13.0,5.0,15.0,2.0,0.0,17.0,0.0,0.0,8.0,10.0,1.0,23.0,7.0,16.0,22.0,14.0,4.0,32.0,14.0,4.0,58.0,52.0,73.0,43.0,0.3,16.0,0.1332715317819831,0.0,0.0,min,False,True,True,True,True,True,True
1.8243935405060028,7.583925863040124,8.296194795570733,21.0,26.0,14.0,59.0,84.0,52.0,24.0,41.0,49.0,0.0,39.0,0.0,0.0,80.0,37.0,27.0,,,,,,,,,,,,,,0.3,16.0,0.0621608854050296,0.0,0.0,min,True,False,False,False,False,False,False
5.555738580338867,6.342817007991176,12.355602922704392,77.0,,,,,,,24.0,75.0,0.0,15.0,0.0,0.0,0.0,28.0,24.0,56.0,40.0,92.0,8.0,20.0,0.0,28.0,31.0,4.0,,,,,0.03,16.0,0.0558812438351862,0.0,0.0,min,False,True,False,False,False,False,False
4.3399222749838975,7.371653919648198,7.899726752090691,,73.0,23.0,79.0,116.0,148.0,31.0,,,,,,,,,,,,,,,,,,,,,,,0.1,16.0,0.0537218409008569,8.881784197001252e-16,8.881784197001252e-16,min,False,False,True,False,False,False,False
1.7934070340548334,6.118886252318658,11.146962863416066,10.4,25.0,14.6,52.4,88.0,61.8,20.4,22.4,14.2,0.0,24.2,0.0,0.0,21.0,20.4,11.2,31.2,14.0,18.8,24.8,18.2,2.0,32.8,13.8,9.4,,,,,0.26,16.0,0.0680244743852099,0.0601317556091299,0.3657993919538143,min,False,True,True,False,False,False,False
3.950009578790925,4.373855125026526,7.177366609155639,2.0,,,,,,,22.0,41.0,0.0,16.0,0.0,0.0,15.0,11.0,6.0,9.0,11.0,52.0,23.0,4.0,0.0,46.0,34.0,0.0,268.0,,,,0.03,16.0,0.0671873964258545,0.0021703036936472,0.0059351717674882,min,False,True,False,True,False,False,False
3.37933337582034,5.984430496123385,5.645451152651715,,47.0,25.0,72.0,79.0,96.0,20.0,,,,,,,,,,,,,,,,,,,207.0,,,,0.1,16.0,0.0863264871902947,0.0068948615187828,0.026818446101743,min,False,False,True,True,False,False,False
1.9773948421768524,5.612319342678072,9.522446884065385,2.0,18.0,19.0,44.0,76.0,46.0,14.0,10.0,9.0,0.0,15.0,0.0,0.0,12.0,23.0,5.0,20.0,9.0,21.0,8.0,18.0,6.0,26.0,10.0,10.0,126.0,,,,0.3,16.0,0.1286235308914259,0.0257101768590743,0.0224059700907723,min,False,True,True,True,False,False,False
3.270036837591566,4.563944729187456,4.605930696275786,4.0,,,,,,,11.0,30.0,0.0,1.0,0.0,0.0,7.0,20.0,36.0,20.0,24.0,36.0,13.0,35.0,0.0,13.0,8.0,0.0,,,291.0,,0.03,16.0,0.0460190150185592,0.0,0.0,min,False,True,False,False,True,False,False
2.837932962874335,4.696170320280063,4.459656581344864,,19.0,21.0,63.0,80.0,82.0,8.0,,,,,,,,,,,,,,,,,,,,,253.0,,0.3,16.0,0.0814166552864283,0.0,0.0,min,False,False,True,False,True,False,False
