cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_comet_mean_importance,small100_noft_comet_mean_importance,small100_ft_comet_mean_importance,nllb_noft_comet_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
0.0324828932812646,0.0223115853026851,0.0695333033451822,129.0,14.0,36.2,35.4,55.8,30.6,1.8,18.8,35.4,94.8,69.2,35.4,97.2,61.8,69.8,74.2,50.4,57.8,74.0,57.6,50.4,91.0,64.8,61.0,117.4,58.2,66.8,131.8,81.4,50.8,106.0,65.2,50.6,1.0,131.2,70.4,162.2,287.0,0.1,28.8,0.0004707222825418,0.0003813819983123,3.760574515926374e-06,kaz,False,True,True,True,True,True,True
0.0554965930439146,0.0405613062413582,0.2344719041080266,102.0,31.0,44.0,89.0,139.0,61.0,6.0,,,87.0,85.0,307.0,100.0,66.0,488.0,58.0,151.0,173.0,77.0,56.0,409.0,92.0,166.0,190.0,,,,,,,,,,,,,,,0.1,32.0,0.0009700797258481,0.0,0.0,kaz,True,False,False,False,False,False,False
0.0288570057670212,0.1102196167735133,0.1616684506991419,114.4,12.0,23.6,25.2,41.6,36.4,0.6,40.6,37.6,62.2,62.2,20.2,78.8,49.8,51.8,43.2,39.2,40.2,71.6,54.8,48.2,82.4,55.0,43.0,60.2,50.8,43.0,67.8,40.6,37.2,92.8,55.4,35.6,4.0,99.8,42.6,131.4,237.4,0.1,22.4,0.0003230049496146,0.002365898375343,0.0014462498615095,kat,False,True,True,True,True,True,True
0.0510414976260552,0.0768702048028932,0.1866879557172963,114.0,41.0,62.0,107.0,156.0,52.0,2.0,,,101.0,82.0,296.0,89.0,62.0,456.0,51.0,162.0,169.0,89.0,77.0,396.0,98.0,171.0,196.0,,,,,,,,,,,,,,,0.1,32.0,0.000258034011942,0.0,0.0,kat,True,False,False,False,False,False,False
0.0326688600330676,0.0041834106352289,0.0105656876294628,147.0,9.0,32.0,52.0,71.0,38.0,0.0,41.0,39.0,114.0,64.0,34.0,104.0,72.0,65.0,65.0,75.0,44.0,95.0,65.0,71.0,92.0,65.0,64.0,122.0,100.0,60.0,115.0,80.0,48.0,125.0,90.0,54.0,3.0,128.0,62.0,205.0,351.0,0.1,32.0,0.000505910080494,0.0,0.0,snd,False,True,True,True,True,True,True
0.0538680767603657,0.0125077198657764,0.0668903491889511,132.0,30.0,78.0,74.0,146.0,55.0,6.0,,,78.0,94.0,297.0,108.0,78.0,486.0,57.0,165.0,167.0,52.0,66.0,420.0,78.0,171.0,155.0,,,,,,,,,,,,,,,0.1,32.0,0.00045345274352,1.734723475976807e-18,0.0,snd,True,False,False,False,False,False,False
0.033272802672884,0.0190069911442886,0.0209505578173145,126.0,7.8,31.2,25.8,51.6,33.0,0.0,22.8,32.4,95.2,44.2,29.8,95.6,59.0,56.2,68.2,54.2,32.2,84.6,45.2,40.2,86.2,62.4,45.2,110.6,66.0,50.4,98.4,66.6,44.0,85.2,66.0,39.0,3.4,102.4,49.8,158.0,265.4,0.1,25.6,0.0004020812591442,0.0019616450378288,0.0030582388284879,afr,False,True,True,True,True,True,True
0.0545852554828418,0.0747391184763314,0.0644364676576408,126.0,36.0,50.0,80.0,136.0,52.0,2.0,,,75.0,84.0,315.0,110.0,70.0,465.0,46.0,186.0,163.0,83.0,69.0,414.0,90.0,194.0,206.0,,,,,,,,,,,,,,,0.1,32.0,0.0003889370389378,0.0,0.0,afr,True,False,False,False,False,False,False
0.0330779396530925,0.0030070895621392,0.0206424557988653,141.8,14.4,41.0,33.4,71.2,38.4,0.0,47.0,48.8,128.4,50.4,46.6,119.6,69.4,64.8,74.8,62.0,45.8,84.0,53.6,64.6,90.4,66.6,55.6,140.0,91.8,80.2,112.6,82.2,54.2,120.2,73.0,49.4,1.6,135.6,58.0,194.6,344.8,0.1,32.0,0.0006489491797305,0.0004117021563319,0.0007012766628143,plt,False,True,True,True,True,True,True
0.0541217178104333,0.0337619224365187,0.0755830868345042,101.0,35.0,51.0,94.0,147.0,57.0,3.0,,,85.0,74.0,316.0,124.0,79.0,461.0,49.0,149.0,180.0,65.0,82.0,412.0,85.0,154.0,188.0,,,,,,,,,,,,,,,0.1,32.0,0.0007094676403538,0.0,0.0,plt,True,False,False,False,False,False,False
0.0327546917001687,0.1797004939490475,0.2711314475239566,139.2,3.2,26.4,39.0,87.0,18.6,1.0,34.6,28.0,69.6,69.0,26.8,70.2,52.6,56.8,56.0,41.2,41.8,67.0,45.4,55.4,61.8,43.2,59.0,130.4,42.6,57.0,102.6,70.6,47.2,89.6,68.8,28.2,0.4,117.0,40.6,156.0,276.6,0.1,25.6,0.0003419161076485,0.0027540281024085,0.0020709885483106,deu,False,True,True,True,True,True,True
