cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
1.8641959819403149,1.5631158347701797,0.008961653,0.019622337,0.011943553,0.04299742,0.01401067,0.023438757,0.0045637665,0.0073783,0.018884445,0.052062314,0.0049083307,0.022369822,0.022150988,0.00655407,0.002758422,0.040652912,0.010826662,0.0067568095,0.018898424,0.0010152723,0.0024331366,0.2703405,0.0052498416,0.0053747455,0.031753637,0.04327733,0.009754723,0.1505679,0.14049324,0.04284935706075953,1720.0,0.12289354478441063,0.3540141969295275,False,True,True,True,True,True,True
1.607576897002214,1.2105011416921,0.038858008,0.103288926,0.03812116,0.17227311,0.029080343,0.084063955,0.01828073,0.007129005,0.11645937,0.13833162,0.023577686,0.029491996,0.03380696,0.007978933,0.01912279,0.14013538,,,,,,,,,,,,,,0.06221624523923558,1860.0,0.19822198403430633,0.28734481149050484,True,False,False,False,False,False,False
6.2526289572706135,6.161163140672011,0.01424097,,,,,,,0.009516634,0.06639046,0.05887098,0.013035414,0.06626636,0.08426919,0.018055864,0.013062993,0.04305621,0.019404145,0.045246292,0.14397976,0.008741524,0.024373442,0.23740885,0.020067189,0.030800378,0.08321331,,,,,0.015835725876726776,220.0,0.12079737269636008,0.42087359260423035,False,True,False,False,False,False,False
4.557849685206989,4.256307708624423,,0.193869,0.08747123,0.29169643,0.10367273,0.22248745,0.10080316,,,,,,,,,,,,,,,,,,,,,,,0.04549639837686161,640.0,0.1499872466604765,0.38288531568177264,False,False,True,False,False,False,False
1.614401770096284,1.334810293081294,0.03554467,0.035562467,0.012115027,0.052988302,0.008169455,0.029823944,0.0038503855,0.0017912767,0.057598628,0.031678952,0.007424844,0.06927704,0.051333386,0.008917544,0.0035702023,0.029850012,0.010150443,0.012806113,0.07766688,0.00091032253,0.0017874744,0.43203998,0.0046673105,0.0034513003,0.01702406,,,,,0.045498698933296944,1820.0,0.19896048593540852,0.299235647497567,False,True,True,False,False,False,False
4.10214784234188,4.012772265939051,0.019025583,,,,,,,0.013986456,0.094295695,0.05429085,0.017629135,0.04975129,0.044521924,0.023594525,0.009961662,0.02538691,0.018455748,0.019246444,0.13080892,0.009485089,0.009061341,0.2399383,0.03974373,0.041746534,0.048458222,0.09061166,,,,0.029863847531215276,540.0,0.11121833070559489,0.3260396744270276,False,True,False,True,False,False,False
3.366330717951725,3.2665492447151836,,0.119896695,0.06708512,0.25333703,0.07583181,0.17704858,0.04438526,,,,,,,,,,,,,,,,,,,0.2624155,,,,0.013858313683949774,700.0,0.17694715136454292,0.26625655271065046,False,False,True,True,False,False,False
1.990030513898915,1.7002299032108361,0.015899798,0.0300483,0.016939925,0.059586145,0.009250668,0.034543447,0.0050998586,0.0061767576,0.068356454,0.058046162,0.005853911,0.051095985,0.017991314,0.006591873,0.0035836592,0.025398046,0.007918023,0.005510919,0.09234436,0.0020512033,0.0029576193,0.34850731,0.01672143,0.01882842,0.020536024,0.07016241,,,,0.040544790526781484,1680.0,0.196486742187897,0.2045529057673759,False,True,True,True,False,False,False
3.2759359112868878,2.857027719284867,0.019201118,,,,,,,0.010444179,0.0794144,0.053716313,0.012179315,0.106018916,0.03326594,0.018302163,0.010488111,0.05290742,0.014317465,0.030221913,0.0961823,0.0060819862,0.016322453,0.24219474,0.011029698,0.015258573,0.042092822,,,0.13036017,,0.018111113458133862,540.0,0.24194071509915963,0.2724192140393866,False,True,False,False,True,False,False
2.7277705995551895,2.2945016643391556,,0.10273279,0.053748,0.2348563,0.06704092,0.16362816,0.04142231,,,,,,,,,,,,,,,,,,,,,0.3365715,,0.028138967991893766,740.0,0.13696136129923583,0.2896475568389205,False,False,True,False,True,False,False
2.116613204959951,1.6457052087459967,0.03190052,0.020911064,0.0191965,0.05777794,0.009226019,0.026474256,0.005319762,0.003759676,0.07669391,0.0690255,0.0061877375,0.01939916,0.0015468531,0.008451012,0.004517438,0.041996453,0.0060021942,0.0070233503,0.10362301,0.0013189851,0.00609745,0.3397536,0.0043883696,0.005893876,0.029714087,,,0.093801305,,0.05456269844526292,1680.0,0.11183600769640234,0.4382660310936764,False,True,True,False,True,False,False
