cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance
8.035399500526024,16.182055815352456,24.636204474054985,0.18087141,0.041409373,0.041572064,0.04396724,0.04315669,0.026772952,0.022448484,0.027877044,0.05704075,0.10215329,0.014273365,0.029150525,0.06357301,0.01438231,0.018918764,0.136913,0.014979012,0.03755445,0.03190159,0.0133174565,0.015358122,0.02240907,0.0234700304670183,3800.0,0.016942534955423,0.987444782626669,1.0957031407233082,ibo,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
4.446732350287336,2.7654618717444435,2.056711307840575,0.002432208,0.0067205215,0.0054403883,0.0040433686,0.010355636,0.0037437077,0.007860054,0.014838782,0.014425087,0.006558617,0.0063055903,0.0054324223,0.010104027,0.0032053478,0.0039025438,0.008313661,0.008911343,0.019177882,0.003069308,0.0079259565,0.004373862,0.0034939651,0.0230515162747598,3800.0,0.0181892254127892,0.363307408732659,0.2784820966493359,ibo,False,True,True,True,True,True,True,0.03253465,0.0039336192,0.010572992,0.004156267,0.0049766744,0.007939225,0.0047013895,0.0034641358,0.016233126,0.010423568,0.0048609106,0.007198983,0.0165372,0.0031810068,0.058609705,0.6500423
8.475405938111724,16.41801574893771,23.168993935015003,,,,,,,0.023745263,0.020209348,0.05172057,0.11899295,0.014426594,0.033612102,0.0680885,0.017257292,0.018646449,0.18490627,0.013210176,0.03896193,0.026556566,0.014087962,0.014493649,0.020165443,0.0181248774637379,3150.0,0.016520642643616,0.8007138899180772,0.90281268138662,ibo,False,True,False,False,False,False,False,0.034004156,0.051228255,0.016268786,0.018045751,0.044770204,0.013169858,0.020943336,0.019155968,0.034869738,0.015770413,0.029593438,0.02309903,,,,
14.195185994821774,9.013187693995544,14.258703813194565,0.21714397,0.13713248,0.14731361,0.1699658,0.16201957,0.16642457,,,,,,,,,,,,,,,,,0.0542506094978765,3150.0,0.0499965607727546,0.7013941703831821,1.9050075709159808,ibo,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
7.57121898296725,16.415495151289,20.601628509475965,0.103187226,0.028502563,0.030553322,0.029706832,0.025571417,0.011001373,0.013373682,0.01648195,0.039958484,0.08460319,0.007837882,0.024076039,0.058446772,0.008133123,0.012924421,0.15739493,0.009174378,0.027321476,0.024093512,0.0067148805,0.010539248,0.015201616,0.0286719681763857,3200.0,0.0058916002665854,0.7677090756838241,0.8119376554868769,ibo,False,True,True,False,False,False,False,0.022246238,0.047990467,0.009238209,0.0123504605,0.03735786,0.008033213,0.01590894,0.014403157,0.028427443,0.010535121,0.020439934,0.028270653,,,,
8.15810333293794,17.27043533911638,21.8179831248006,,,,,,,0.019326728,0.020811157,0.049322754,0.096677884,0.009285189,0.03711703,0.06192714,0.017664533,0.015800135,0.176983,0.014257175,0.036034513,0.026166808,0.016929064,0.010401997,0.015494114,0.0220283579506805,3250.0,0.0134817846813082,0.7808950894906321,0.4871220857336667,ibo,False,True,False,True,False,False,False,0.039570637,0.047357313,0.011056048,0.011030379,0.03178007,0.010503048,0.0210128,0.015643079,0.030045802,0.023315232,0.016904658,0.04464607,0.07293564,,,
13.944991043069953,7.195070808910169,13.799790032379766,0.26394725,0.119467355,0.1259254,0.14507473,0.11134046,0.09885335,,,,,,,,,,,,,,,,,0.01,2000.0,0.0134370166115672,0.3324884000511139,0.0934586156526167,ibo,False,False,True,True,False,False,False,,,,,,,,,,,,,0.13539144,,,
7.473528673978723,17.237257598629405,19.241135351076583,0.07243262,0.020864401,0.03074025,0.026590008,0.02150743,0.012009451,0.014792281,0.016708147,0.039382696,0.078042954,0.0063183354,0.034178525,0.050252993,0.011847458,0.013242684,0.14945206,0.01064111,0.03205157,0.022873312,0.011031543,0.0075293286,0.011795916,0.024463845560756,3450.0,0.0188356396940736,0.7616366400377756,0.6883999276695457,ibo,False,True,True,True,False,False,False,0.032774188,0.04242522,0.00708967,0.006964449,0.027870456,0.006890488,0.015201235,0.012315854,0.02377144,0.018692017,0.012977503,0.037802853,0.060939573,,,
7.314288329738908,14.39786351519453,15.84685997270538,,,,,,,0.0154400375,0.021811914,0.07602731,0.13336745,0.016374283,0.031831518,0.044559322,0.021640511,0.012255,0.06591293,0.018405998,0.021569446,0.02442723,0.016070716,0.010687682,0.014458412,0.0276943117032559,3550.0,0.0098863513740372,0.3131308368328435,0.6870471116940776,ibo,False,True,False,False,True,False,False,0.019457987,0.045760065,0.010980735,0.011747085,0.018440101,0.010164368,0.013708198,0.01695887,0.037903834,0.033113036,0.015144164,0.024839833,,,0.19694194,
11.029060402283855,2.3794252179910678,11.757359222413047,0.13690773,0.13705108,0.104520634,0.15287504,0.11496754,0.086976096,,,,,,,,,,,,,,,,,0.01,2000.0,0.0112424333847255,0.1301999536081841,0.147745470435854,ibo,False,False,True,False,True,False,False,,,,,,,,,,,,,,,0.26670185,
