cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.375289151952219,2.5270036676229344,3.61322462952599,0.09962213,0.009889637,0.019362193,0.017481802,0.010183144,0.023248428,0.02594779,0.03224339,0.002887479,0.04724034,0.042278267,0.020000374,0.03228075,0.04819616,0.003498796,0.010714074,0.0037483252,0.0032668642,0.04390282,0.011866816,0.0014584821,0.017835256,0.0016279782,0.0021298502,0.005314408,0.00257383,0.0022795615,0.06608498,0.0014695353,0.0026221178,0.010724923,0.0064552627,0.002115799,0.005932742,0.008142091,0.007896944,0.033699147,0.3137775,0.0303262430172522,4100.0,0.0348619899264871,0.0911563429416752,0.1804503665661561,sin,False,True,True,True,True,True,True
6.955167573637873,5.597435570479762,12.62714121704353,0.055947453,0.14084129,0.079910055,0.050231196,0.057839703,0.043899894,0.029730955,,,0.067360766,0.04503804,0.09325728,0.037584316,0.043783195,0.05077944,0.015650148,0.0139119085,0.028312221,0.02892971,0.019229762,0.030989964,0.045741133,0.007267992,0.013763535,,,,,,,,,,,,,,,0.0446065203397002,4200.0,0.0776386212935329,0.2713086464501783,0.3660081189886972,sin,True,False,False,False,False,False,False
7.209772631796926,5.860869815229276,12.595509447104636,0.07031858,,,,,,,0.03038539,0.03532967,0.07412002,0.06562074,0.11014197,0.043831937,0.057480145,0.06813696,0.0205564,0.018444316,0.03220025,0.037245028,0.033435397,0.040697314,0.060191702,0.007933375,0.0125389965,0.013885519,0.017310992,0.030357162,0.021633275,0.010967337,0.017401865,0.025956258,0.015903847,0.01696757,0.011008036,,,,,0.0289087391064291,4150.0,0.0881436618633594,0.2207270611250043,0.2655554371335932,sin,False,True,False,False,False,False,False
14.426879435942562,11.7351726177887,13.218593572390592,,0.13532284,0.33747035,0.1133873,0.21835001,0.11499818,0.080471314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0128338158722862,3150.0,0.0333258255401146,0.04059886401386,0.0037801347197856,sin,False,False,True,False,False,False,False
6.410780797705257,5.620094779252062,14.21556461909175,0.060348045,0.10740793,0.049849987,0.037009925,0.046649728,0.023113787,0.013509716,0.017435862,0.02576612,0.06568094,0.0309183,0.08907063,0.040450264,0.046321966,0.05257711,0.011253359,0.01224081,0.01975198,0.02187099,0.014434126,0.026312405,0.04130473,0.0049841963,0.009228447,0.007992821,0.009167515,0.02202726,0.011784722,0.006916278,0.014013568,0.021599287,0.011956297,0.011447409,0.015603495,,,,,0.0321064608436423,4400.0,0.0713973924142753,0.1677422735513634,0.252556321534998,sin,False,True,True,False,False,False,False
6.365651211146222,5.415313259788835,12.00895749127622,0.054741077,0.08998347,0.04463597,0.040957432,0.032719918,0.02203474,0.013117323,0.01643302,0.02021273,0.071131036,0.034102313,0.091918096,0.029994553,0.05334104,0.046050176,0.010734577,0.012349348,0.017206972,0.022128915,0.014788577,0.019721176,0.052364714,0.005338711,0.007543159,0.008836752,0.0060298536,0.01831395,0.019419098,0.006300493,0.009704697,0.019045133,0.013453931,0.008390913,0.02041873,0.046537437,,,,0.0246042236844512,4600.0,0.0610680517447639,0.2358773863190105,0.1326533620072175,sin,False,True,True,True,False,False,False
5.701748323018596,4.271285467790915,8.561926381832631,0.10370978,0.05044344,0.03515861,0.027240787,0.020684673,0.02132565,0.042330965,0.027163338,0.017091842,0.05461224,0.076430626,0.08914943,0.034469165,0.044772007,0.031302698,0.012348397,0.008926083,0.009358504,0.017620841,0.02030016,0.012166892,0.055199094,0.0033221715,0.004073479,0.00955037,0.00718842,0.008877067,0.02161154,0.008956918,0.0068959603,0.016832437,0.0106588,0.0059956433,0.010097759,,,0.074134246,,0.0383036287931423,4700.0,0.0529916846755289,0.2710663520813284,0.3879595339946941,sin,False,True,True,False,True,False,False
5.498225344773373,3.2427058502773938,10.056377251044143,0.059004486,0.054282434,0.042455327,0.05259102,0.021304738,0.013725884,0.035184465,0.022044867,0.03059144,0.04608397,0.08070455,0.09974207,0.038614996,0.03368345,0.02794141,0.010653513,0.013793156,0.017241562,0.016927801,0.017068174,0.00986328,0.059433155,0.004311753,0.005592961,0.0076882467,0.005138507,0.019454341,0.017616311,0.003988534,0.007560349,0.020956775,0.0069378614,0.008869541,0.016690494,,0.07225862,,,0.0351524592580609,3700.0,0.0981718074141374,0.1696977890812195,0.4323968934774126,sin,False,True,True,False,False,True,False
3.8454470175890574,3.2772224951702214,5.337950419663143,0.07590854,0.05386991,0.02049002,0.022273438,0.022317499,0.018230557,0.0015659139,0.03268731,0.0039059941,0.042977758,0.03842406,0.0661226,0.03851513,0.066537626,0.01611564,0.01152175,0.0057234997,0.010618569,0.038127035,0.013125086,0.0042457357,0.03292492,0.002804791,0.0036865906,0.0052393465,0.006540013,0.0063429596,0.054674596,0.0026284575,0.0046594143,0.012470873,0.012500042,0.0050181644,0.0044106413,,,,0.2427955,0.0312973007756012,4050.0,0.0520973411013707,0.0981157204422154,0.1565925263096372,sin,False,True,True,False,False,False,True
3.3745283589924524,4.048615426811489,5.686795919926802,0.08483172,0.004395846,0.014001302,0.020385653,0.010403963,0.05723525,0.03217072,0.021804448,0.0032086014,0.050827432,0.033097908,0.018718582,0.028197277,0.06509237,0.0041665197,0.008901671,0.003344404,0.0036208276,0.02597718,0.011518876,0.001921213,0.020058205,0.0018254289,0.0020017293,0.0055447365,0.0024991818,0.0025704834,0.08174682,0.0016710801,0.002398083,0.009543151,0.0069357185,0.0020439886,0.0075159194,0.0077848346,0.008066082,0.035004094,0.29896873,0.0263286240682448,3950.0,0.0429115070715712,0.0886173512154715,0.4324541734087636,ind,False,True,True,True,True,True,True
6.911546585072109,12.887067350089689,17.77734762200629,0.058457352,0.14943694,0.07589696,0.05466155,0.042797744,0.052194256,0.034481313,,,0.07822551,0.037486967,0.09220666,0.038369484,0.04541938,0.04763319,0.018284362,0.01633915,0.029001957,0.027910706,0.01764659,0.028519815,0.034441404,0.006741176,0.013847473,,,,,,,,,,,,,,,0.0356339241868572,4350.0,0.0785549710156648,0.2058408805737754,0.1341258124341421,ind,True,False,False,False,False,False,False
7.229735656224617,10.479365201320736,16.125212839997893,0.073672734,,,,,,,0.03006902,0.03680182,0.0920869,0.043120287,0.10181103,0.049105085,0.06625307,0.072471365,0.02029932,0.020685896,0.029965699,0.043169398,0.031903513,0.032994993,0.049262505,0.007839024,0.013935836,0.014278459,0.017805416,0.032225788,0.023406202,0.011487475,0.014899299,0.026185622,0.016723104,0.016772505,0.010768634,,,,,0.0266731775413801,4800.0,0.0488833319902175,0.2832859319755497,0.2285616234729569,ind,False,True,False,False,False,False,False
14.389384861569283,13.17723550586597,15.60536433127832,,0.13877288,0.33407205,0.120105125,0.20171654,0.12276916,0.08256425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0145709411594434,3350.0,0.0261475636981958,0.0044594110335169,0.1005877097080265,ind,False,False,True,False,False,False,False
6.428722239466542,12.099278721350457,16.908266834541198,0.0591716,0.10976924,0.05723834,0.03250528,0.03479045,0.031329714,0.016830636,0.018341983,0.024669554,0.08114882,0.026364401,0.08780263,0.041894108,0.050836276,0.05019576,0.010950992,0.016052892,0.019811962,0.02478664,0.012732774,0.019117506,0.03341533,0.0050091883,0.008586062,0.007478047,0.00990288,0.022973688,0.011298182,0.007621581,0.010777658,0.02023374,0.011663031,0.010712298,0.013986784,,,,,0.0243552704172759,4700.0,0.0566356071027342,0.2960692489710946,0.137912098004743,ind,False,True,True,False,False,False,False
