cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
1.8743551830445488,1.7283814583216803,3.584343883908569,0.0046066754,0.0284076,0.003495738,0.035474136,0.014701744,0.015455073,0.0062282435,0.003911941,0.010493527,0.012169741,0.0075430125,0.006994241,0.01587917,0.003794746,0.002095155,0.0033837692,0.0015054574,0.001843724,0.025696775,0.0005914325,0.0009122921,0.37553763,0.008439064,0.008126905,0.053784274,0.034663744,0.0040783575,0.16286781,0.14731799,0.0593919174164906,1420.0,0.0824509515037542,0.0919842016050835,0.1272649136866666,jav,False,True,True,True,True,True,True
1.5060785523157991,5.8042913121521975,6.046042935100688,0.042871203,0.118643045,0.009971621,0.18312602,0.04406033,0.08274688,0.04927583,0.0044454644,0.08130026,0.117617175,0.018910524,0.031463288,0.08455902,0.0070884014,0.0155144185,0.108406544,,,,,,,,,,,,,,0.0467083617843073,1860.0,0.1481968820885252,0.2668625387554584,0.2634265379459307,jav,True,False,False,False,False,False,False
6.921825305129419,1.3595078914570158,6.74548299165397,0.014447616,,,,,,,0.011916031,0.041914582,0.05535233,0.020151602,0.043672066,0.055546474,0.020792898,0.01333206,0.06079637,0.021774944,0.03200525,0.10766294,0.014436627,0.032498457,0.26472646,0.022642191,0.027962247,0.13836887,,,,,0.0280000328770418,480.0,0.0944329609002529,0.1649741151183278,0.2169634861741881,jav,False,True,False,False,False,False,False
4.698309330516748,8.13360454471674,5.897788857991606,,0.2083077,0.05425778,0.3066432,0.12844801,0.1880916,0.114251755,,,,,,,,,,,,,,,,,,,,,,,0.0120131097831382,380.0,0.0657888381169406,0.1449698193369675,0.1341535117057732,jav,False,False,True,False,False,False,False
1.46579835242009,4.883004089855383,7.107871461280982,0.027208567,0.04389044,0.0047785006,0.053487115,0.010701902,0.023289537,0.005240687,0.0014231201,0.018292744,0.016912369,0.004823209,0.020080963,0.035774015,0.005127093,0.002117512,0.00709313,0.008382675,0.010314088,0.07851505,0.0002848153,0.0006365731,0.560156,0.005049712,0.001613701,0.05480656,,,,,0.0558782375184505,1700.0,0.1000063086335102,0.1786860340012302,0.3573903352990158,jav,False,True,True,False,False,False,False
4.214602681557701,2.51512667618136,4.019001478777953,0.021460405,,,,,,,0.010522427,0.051469307,0.03797225,0.017607925,0.04321611,0.025986219,0.022560716,0.009435612,0.017652344,0.01571389,0.01892474,0.15130296,0.005666935,0.006819904,0.26958346,0.037373908,0.03581076,0.11793736,0.08298276,,,,0.0187679524118825,1200.0,0.149539509495706,0.0617749809839096,0.1736884326290295,jav,False,True,False,True,False,False,False
3.545709376242738,5.563103620120982,4.921061205525655,,0.12982628,0.018377809,0.26734763,0.113855205,0.1406621,0.069750845,,,,,,,,,,,,,,,,,,,0.26018012,,,,0.0112246028284879,800.0,0.1139462150141345,0.153836424679136,0.0830114207747326,jav,False,False,True,True,False,False,False
1.7437112207637462,3.4590555742810785,5.460561004792518,0.012490207,0.038245615,0.00356413,0.066839024,0.015123871,0.036629044,0.01014611,0.0033414452,0.030161459,0.027132327,0.002797021,0.016041512,0.015583073,0.0029871345,0.0014802112,0.010570585,0.008317373,0.0043677487,0.09086747,0.00071080873,0.0011726377,0.45994335,0.013266629,0.0040827054,0.06897573,0.055162776,,,,0.0508256157070794,1740.0,0.0928151333760242,0.1717468608685537,0.260511142712164,jav,False,True,True,True,False,False,False
2.8392896807172767,1.9582589409584528,6.389418456763332,0.020746205,,,,,,,0.010232141,0.05991572,0.037037928,0.01266369,0.0267491,0.016228061,0.013450369,0.007128246,0.0183619,0.013797812,0.028353661,0.12142992,0.0037590428,0.008683253,0.21939225,0.009479779,0.01573376,0.19925389,,,0.1576033,,0.0268310439559843,600.0,0.0564033667033012,0.0399333855566591,0.1914495982947016,jav,False,True,False,False,True,False,False
2.500768283329868,2.979344603356754,6.026036368930976,,0.13780245,0.011201059,0.23222026,0.0951547,0.13468006,0.046996977,,,,,,,,,,,,,,,,,,,,,0.34194452,,0.0184290751075026,560.0,0.1025475679200345,0.1361094621716706,0.1082040369132397,jav,False,False,True,False,True,False,False
