cv_rmse,test_rmse,alpha,beta_w,beta_h,beta_z,beta_s,beta_t,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
1.6974170846547696,1.6815318860999455,0.01,0.1,0.1,0.01,0.01,0.01,0.20341408950270523,0.4110384714134364,False,True,True,True,True,True,True
2.1730497593883213,2.6033992125621794,0.01,0.1,0.1,0.01,0.01,0.01,0.14428781907966176,0.3862502627060062,True,False,False,False,False,False,False
2.0617587657147127,2.390342711725136,0.001,0.1,0.1,0.01,0.01,0.01,0.22497740060590954,0.14753631944669732,False,True,False,False,False,False,False
2.2436820890788995,2.726758343438936,0.01,0.1,0.1,0.028000000000000004,0.01,0.01,0.18625224079335032,0.4157589297371411,False,False,True,False,False,False,False
2.097118806173163,2.479395883496241,0.01,0.1,0.1,0.01,0.01,0.01,0.1724781140233057,0.3359476562149208,False,True,True,False,False,False,False
2.127756512201523,2.2627665415597122,0.01,0.1,0.1,0.046,0.01,0.01,0.1399674496436426,0.14349613592253313,False,True,False,True,False,False,False
2.117078985813618,2.42309177430474,0.01,0.1,0.1,0.046,0.01,0.01,0.14933031523449725,0.13404470263344026,False,False,True,True,False,False,False
2.0132059418052224,2.1413953636702323,0.01,0.1,0.1,0.028000000000000004,0.01,0.01,0.16180459677199968,0.2311519871769142,False,True,True,True,False,False,False
2.214267946486877,2.0968413975311755,0.01,0.1,0.1,0.028000000000000004,0.01,0.01,0.22790445760523986,0.24029920184375275,False,True,False,False,True,False,False
2.0843688415979456,2.3690201594996565,0.01,0.1,0.1,0.046,0.01,0.01,0.2374605649955435,0.3112823178392328,False,False,True,False,True,False,False
1.9760497221359674,2.055637764666672,0.01,0.1,0.1,0.01,0.01,0.01,0.2415948859148612,0.4342376702013437,False,True,True,False,True,False,False
2.3190615262183334,2.751349882316632,0.0028,0.1,0.1,0.028000000000000004,0.01,0.01,0.2431769395192511,0.43685470147568795,False,True,False,False,False,True,False
2.33620876668994,2.8513212002130817,0.01,0.1,0.1,0.046,0.01,0.01,0.22410404442665116,0.4521177726590045,False,False,True,False,False,True,False
2.1938763710716036,2.5563997831224863,0.01,0.1,0.1,0.028000000000000004,0.01,0.01,0.2046060779710379,0.40401477580790335,False,True,True,False,False,True,False
2.2801108680250524,2.3447911122908796,0.01,0.1,0.1,0.046,0.01,0.01,0.23184756026546327,0.3698382422333045,False,True,False,False,True,True,False
2.118177163778809,2.163564486491061,0.01,0.1,0.1,0.01,0.01,0.01,0.2416602228519826,0.4423271294352286,False,False,True,False,True,True,False
2.0104635072276715,2.0940138908019628,0.01,0.1,0.1,0.01,0.01,0.01,0.23966267021982618,0.48627040768839797,False,True,True,False,True,True,False
1.9924332750539038,1.9018187584309416,0.0046,0.1,0.1,0.01,0.01,0.01,0.1796172013420511,0.13673307113362887,False,True,False,False,False,False,True
1.8390850532034222,1.8196810486594377,0.01,0.1,0.1,0.01,0.01,0.01,0.23542916756195054,0.4564055892043484,False,False,True,False,False,False,True
1.7459109050060768,1.7488253577004116,0.01,0.1,0.1,0.01,0.01,0.01,0.1625325520835507,0.4150901736908257,False,True,True,False,False,False,True
