cv_rmse,test_rmse,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.8178556135874175,2.459601527788083,0.13485237037312767,0.38632819689785985,False,True,True,True,True,True,True
4.748406567910471,4.67958057656634,0.16806474351916056,0.5068719382470303,True,False,False,False,False,False,False
6.279113400287613,6.071963965371176,0.10406437121716207,0.2331892053643598,False,True,False,False,False,False,False
5.675674562577968,5.401997962778086,0.2275666514390349,0.5502903981280599,False,False,True,False,False,False,False
4.126062453550978,4.064595640479421,0.12402295810360164,0.5081723242455795,False,True,True,False,False,False,False
4.367108557891307,4.327480990017214,0.0782705150844457,0.32532924347164427,False,True,False,True,False,False,False
4.357404533713732,4.3375864537087825,0.2458507733217564,0.4714218471303273,False,False,True,True,False,False,False
3.6927375760718975,3.7660181648576567,0.1093308956362392,0.3464654290529117,False,True,True,True,False,False,False
3.100274842053519,2.6169107406118313,0.18135504100485556,0.5007191789861053,False,True,False,False,True,False,False
3.2353827684862706,2.7056987737646057,0.20723853397668304,0.4446208900892198,False,False,True,False,True,False,False
2.913562028848421,2.517526352306734,0.18988130624544572,0.49188114217657025,False,True,True,False,True,False,False
5.840503438701008,5.720587046678782,0.07362356077191211,0.19781329529979694,False,True,False,False,False,True,False
5.581070770056302,5.4274518556651135,0.18863499565731012,0.4632027973319403,False,False,True,False,False,True,False
4.133827956644624,4.0184644654982264,0.13293234477553068,0.5039635698123298,False,True,True,False,False,True,False
3.1477638042110705,2.633580319331841,0.1889459715211992,0.502468524878287,False,True,False,False,True,True,False
3.216082471133105,2.6518945176446094,0.20071374599915268,0.42855217334369894,False,False,True,False,True,True,False
2.9131703936082913,2.4847452771952487,0.18634214369355925,0.4932731061767817,False,True,True,False,True,True,False
4.719192262909985,4.325302288940764,0.08570624204020048,0.2150586938743482,False,True,False,False,False,False,True
4.424206284362316,4.1403804635088814,0.17228501249444006,0.3488969123848139,False,False,True,False,False,False,True
3.4492783054867866,3.3171886008365328,0.10800108680243685,0.28225928583858323,False,True,True,False,False,False,True
