cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
12.337446546193723,5.591170289483837,11.242299383659253,0.015780156952072112,2.7231034701379806e-15,2.8642893384395585e-15,sin,True,False,False,False,False,False,False
4.695814082969849,2.4160084217565436,2.7664253177800684,0.013601649220607626,6.280369834735101e-16,7.944109290391273e-16,sin,False,True,True,True,True,True,True
12.569363002591405,4.094938544757797,10.396170462615519,0.019729773510112607,1.2560739669470201e-15,1.1234667099445444e-15,sin,False,True,False,False,False,False,False
14.487129515742831,13.247105989180707,15.69594298134471,0.02665248633365252,2.6347629809804343e-15,2.6347629809804343e-15,sin,False,False,True,False,False,False,False
11.989489239895258,5.551079920241041,10.639517129348079,0.03126068423476758,1.9049304879749955e-15,1.3759600911837627e-15,sin,False,True,True,False,False,False,False
11.782489356730292,3.480591833572962,9.22635812794242,0.01360681764149947,9.524652439874978e-16,7.944109290391273e-16,sin,False,True,False,True,False,False,False
13.81650360128667,11.975012467409371,14.566353001517868,0.028563621353717147,2.5121479338940403e-15,1.9459014222361975e-15,sin,False,False,True,True,False,False,False
11.466565485015005,4.6344359406810325,9.327709523880127,0.028013866030568435,3.4399002279594067e-15,1.3759600911837627e-15,sin,False,True,True,True,False,False,False
9.808114150558264,4.394451387106917,7.265160167543044,0.030006069753697594,3.9720546451956367e-16,9.729507111180987e-16,sin,False,True,False,False,True,False,False
11.368622308314254,8.68213059332869,10.006860786677002,0.021592291757728473,2.1018137570293106e-15,1.9459014222361975e-15,sin,False,False,True,False,True,False,False
9.800825978465184,4.389201112040159,7.23671881507606,0.03028466013848994,1.3173814904902171e-15,1.6377200852866891e-15,sin,False,True,True,False,True,False,False
10.47596596936502,3.95770680726958,7.922423874305361,0.013113229589345288,8.881784197001252e-16,1.6377200852866891e-15,sin,False,True,False,False,False,True,False
12.387878015980343,9.633850176524456,11.385208946736732,0.018528479849625565,2.8642893384395585e-15,1.9459014222361975e-15,sin,False,False,True,False,False,True,False
10.466235533069522,4.413914765948988,8.188639296120925,0.017840216907765542,1.9860273225978185e-15,1.9459014222361975e-15,sin,False,True,True,False,False,True,False
9.448718405140768,4.036282538709203,6.741082789013262,0.02716603957758204,1.0509068785146553e-15,5.617333549722722e-16,sin,False,True,False,False,True,True,False
10.786415252939673,7.350021231497919,8.851024147552941,0.023285747136645624,1.6377200852866891e-15,1.5888218580782547e-15,sin,False,False,True,False,True,True,False
9.442294574360321,4.105230877254618,6.672741567460261,0.030559190177767752,8.881784197001252e-16,9.729507111180987e-16,sin,False,True,True,False,True,True,False
5.309072385086957,3.5246454517710157,4.0756156018590275,0.010895117154322797,5.617333549722722e-16,7.944109290391273e-16,sin,False,True,False,False,False,False,True
6.060526079410378,4.541306356148198,4.782107738897247,0.004310312869923089,3.9720546451956367e-16,8.881784197001252e-16,sin,False,False,True,False,False,False,True
5.290400782257959,3.46864838245074,4.227352942522097,0.009506294787169321,3.4399002279594067e-16,8.881784197001252e-16,sin,False,True,True,False,False,False,True
12.181327984263401,12.501321071613486,16.137756827419594,0.022363005375654423,3.462756959325817e-15,2.7519201823675253e-15,fao,True,False,False,False,False,False,False
4.6379806684286935,3.0566458208844063,2.2602157943022236,0.011725508039609209,1.5637994776137817e-15,1.88411095042053e-15,fao,False,True,True,True,True,True,True
12.380960968067429,13.88300610902651,10.42435765635772,0.018016222878720147,1.1234667099445444e-15,1.9459014222361975e-15,fao,False,True,False,False,False,False,False
14.429210977189651,18.898896088342983,20.169316299153657,0.015592058909738254,0.0,0.0,fao,False,False,True,False,False,False,False
11.820231155048694,13.838736450946337,14.924890169670073,0.03420224056824618,5.0242958677880805e-15,4.8322130328186015e-15,fao,False,True,True,False,False,False,False
11.614613769563299,12.602351930876782,8.242015258038201,0.009502348177728007,1.5888218580782547e-15,1.5888218580782547e-15,fao,False,True,False,True,False,False,False
13.733367477786704,18.140423667589218,18.36275526058534,0.02113594409621437,2.2469334198890887e-15,2.2469334198890887e-15,fao,False,False,True,True,False,False,False
11.309328280523816,11.779788995325127,11.88017527545438,0.021278394281483665,1.1234667099445444e-15,3.891802844472395e-15,fao,False,True,True,True,False,False,False
9.672837401500535,10.827015145400313,7.680040172328972,0.01659204012801692,1.3759600911837627e-15,1.191616393558691e-15,fao,False,True,False,False,True,False,False
11.26952912023492,13.174256760049833,11.309610852157789,0.0170489024878051,1.3759600911837627e-15,1.5888218580782547e-15,fao,False,False,True,False,True,False,False
9.667415373376114,10.449598317419955,7.668422314506363,0.01855529306166408,1.1234667099445444e-15,2.3160859559832576e-15,fao,False,True,True,False,True,False,False
10.302701617202967,13.108443476066588,12.92930629100105,0.01663728101234972,1.9459014222361975e-15,1.5888218580782547e-15,fao,False,True,False,False,False,True,False
12.268836450722159,14.107009883989509,14.782851167839244,0.019524371437102606,3.462756959325817e-15,1.7763568394002505e-15,fao,False,False,True,False,False,True,False
10.31217439142366,13.05070449177423,12.92603510086077,0.017882869618707248,2.8642893384395585e-15,7.944109290391273e-16,fao,False,True,True,False,False,True,False
9.303746824253441,11.416195681865428,9.680401912537949,0.018093386364595777,2.2469334198890887e-15,1.1234667099445444e-15,fao,False,True,False,False,True,True,False
10.656476858071354,12.901517426359922,11.880863090932674,0.018407865633657948,2.5121479338940403e-15,3.462756959325817e-15,fao,False,False,True,False,True,True,False
9.291033807851056,11.561783074321998,10.076866832510735,0.019518987305906496,2.1018137570293106e-15,3.2754401705733782e-15,fao,False,True,True,False,True,True,False
5.26222236987296,3.5360195537059225,3.308394576762356,0.01994672718463933,2.0350724194510405e-15,1.2402736654387905e-15,fao,False,True,False,False,False,False,True
6.009842162552683,2.421688004434283,1.825288695824959,0.0035041779716491707,1.191616393558691e-15,1.907516952829494e-15,fao,False,False,True,False,False,False,True
